Date,AAPL,BA,CVX,JNJ,MCD,MMM,MRK,NIKE,PFE
18.03.1980,0.095495,2.168455,2.065572,0.538350,0.444048,1.679849,0.480790,0.129549,0.198325
19.03.1980,0.095495,2.206748,2.058474,0.542330,0.448489,1.662574,0.476952,0.129549,0.193367
20.03.1980,0.095495,2.168455,2.012336,0.545315,0.444048,1.653937,0.475992,0.129549,0.193367
21.03.1980,0.095495,2.154093,1.976844,0.544320,0.439608,1.619391,0.474073,0.129549,0.190534
24.03.1980,0.095495,2.010485,1.884568,0.532379,0.429247,1.597799,0.466396,0.129549,0.184867
25.03.1980,0.095495,2.149305,1.923609,0.531384,0.436648,1.628027,0.482710,0.129549,0.184867
26.03.1980,0.095495,1.953043,1.898765,0.537354,0.441087,1.645302,0.475992,0.129549,0.190534
27.03.1980,0.095495,2.087077,1.824233,0.539344,0.444048,1.658257,0.481751,0.129549,0.195492
28.03.1980,0.095495,2.067930,1.849077,0.549296,0.472171,1.714395,0.495186,0.129549,0.209658
31.03.1980,0.095495,2.039209,1.859724,0.565218,0.491413,1.718714,0.518217,0.129549,0.214616
01.04.1980,0.095495,2.048782,1.845528,0.568202,0.488453,1.710077,0.520136,0.129549,0.214616
02.04.1980,0.095495,2.091864,1.895216,0.566212,0.491413,1.727350,0.523016,0.129549,0.217449
03.04.1980,0.095495,2.125371,1.859724,0.573178,0.497334,1.710077,0.523975,0.129549,0.217449
07.04.1980,0.095495,2.077503,1.770996,0.561236,0.486973,1.671212,0.504782,0.129549,0.212491
08.04.1980,0.095495,2.130159,1.802939,0.566212,0.489933,1.735987,0.505742,0.129549,0.214616
09.04.1980,0.095495,2.201961,1.902314,0.569198,0.491413,1.744624,0.515338,0.129549,0.214616
10.04.1980,0.095495,2.230684,1.930707,0.569198,0.489933,1.753261,0.516298,0.129549,0.217449
11.04.1980,0.095495,2.225895,1.934255,0.565218,0.484012,1.723031,0.508621,0.129549,0.217449
14.04.1980,0.095495,2.187602,1.944903,0.558252,0.479572,1.723031,0.499984,0.129549,0.214616
15.04.1980,0.095495,2.096649,1.955551,0.567207,0.478092,1.723031,0.501903,0.129549,0.214616
16.04.1980,0.095495,2.017668,1.895216,0.570193,0.478092,1.718714,0.502863,0.129549,0.214616
17.04.1980,0.095495,2.017668,1.895216,0.569198,0.478092,1.701441,0.502863,0.129549,0.214616
18.04.1980,0.095495,1.953043,1.863273,0.568202,0.478092,1.697122,0.493266,0.129549,0.212491
21.04.1980,0.095495,1.931502,1.856176,0.567207,0.476612,1.666893,0.488468,0.129549,0.209658
22.04.1980,0.095495,2.111011,1.973296,0.575168,0.497334,1.761898,0.515338,0.129549,0.214616
23.04.1980,0.095495,2.089470,1.959098,0.573178,0.507695,1.753261,0.512460,0.129549,0.217449
24.04.1980,0.095495,2.111011,1.920059,0.589100,0.506215,1.770534,0.518217,0.129549,0.223116
25.04.1980,0.095495,2.154093,1.952001,0.599050,0.500294,1.787807,0.520136,0.129549,0.225949
